COCE5   ;60.7;03/09/2020;
COGN3   ;5.93;03/09/2020;
COLG34  ;423.58;03/09/2020;
COPH34  ;48.06;03/09/2020;
COTY34  ;9.77;03/09/2020;
COWC34  ;475.83;03/09/2020;
CPFE3   ;29.05;03/09/2020;
CPLE3   ;62.59;03/09/2020;
CPLE6   ;64.19;03/09/2020;
CRFB3   ;20.5;03/09/2020;
CRIV3   ;5.8;03/09/2020;
CRPG5   ;20.58;03/09/2020;
CRPG6   ;20.47;03/09/2020;
CSAB3   ;50.94;03/09/2020;
CSAN3   ;78.91;03/09/2020;
CSCO34  ;217.15;03/09/2020;
CSMG3   ;49.08;03/09/2020;
CSNA3   ;15.15;03/09/2020;
CTGP34  ;272.66;03/09/2020;
CTKA4   ;12.34;03/09/2020;
CTNM3   ;11.1;03/09/2020;
CTNM4   ;6.01;03/09/2020;
CTSA3   ;2.7;03/09/2020;
CTSA4   ;2.37;03/09/2020;
CVCB3   ;18.7;03/09/2020;
CVSH34  ;163.72;03/09/2020;
CYRE3   ;24.31;03/09/2020;
D1FS34  ;147.0;03/09/2020;
D1XC34  ;119.41;03/09/2020;
DEAI34  ;165.0;03/09/2020;
DEEC34  ;557.8;03/09/2020;
DHER34  ;264.6;03/09/2020;
DIRR3   ;15.89;03/09/2020;
DISB34  ;724.3;03/09/2020;
DMMO3   ;1.24;03/09/2020;
DMVF3   ;11.91;03/09/2020;
DOHL4   ;5.15;03/09/2020;
DTCY3   ;6.45;03/09/2020;
DTEX3   ;17.02;03/09/2020;
EAIN34  ;375.29;03/09/2020;
EALT3   ;12.32;03/09/2020;
EALT4   ;5.65;03/09/2020;
ECOR3   ;13.4;03/09/2020;
EGIE3   ;43.93;03/09/2020;
ELET3   ;37.81;03/09/2020;
ELET6   ;38.01;03/09/2020;
EMAE4   ;29.72;03/09/2020;
EMBR3   ;7.56;03/09/2020;
ENAT3   ;11.63;03/09/2020;
ENBR3   ;18.92;03/09/2020;
ENEV3   ;49.18;03/09/2020;
ENGI3   ;13.47;03/09/2020;
ENGI4   ;7.77;03/09/2020;
ENGI11  ;44.28;03/09/2020;
ENMT3   ;29.9;03/09/2020;
ENMT4   ;29.9;03/09/2020;
EQIX34  ;820.99;03/09/2020;
EQPA3   ;3.42;03/09/2020;
EQPA7   ;5.6;03/09/2020;
EQTL3   ;23.99;03/09/2020;
EUCA3   ;23.1;03/09/2020;
EUCA4   ;6.52;03/09/2020;
EVEN3   ;13.05;03/09/2020;
EXXO34  ;52.0;03/09/2020;
EZTC3   ;40.8;03/09/2020;
F1NI34  ;203.5;03/09/2020;
F1RA34  ;115.79;03/09/2020;
F1RI34  ;108.54;03/09/2020;
FBOK34  ;792.72;03/09/2020;
FCXO34  ;81.92;03/09/2020;
FESA3   ;29.1;03/09/2020;
FESA4   ;18.45;03/09/2020;
FLRY3   ;28.23;03/09/2020;
FRAS3   ;5.38;03/09/2020;
G1WW34  ;389.9;03/09/2020;
GEOO34  ;34.01;03/09/2020;
GEPA4   ;47.04;03/09/2020;
GFSA3   ;4.91;03/09/2020;
GGBR3   ;16.46;03/09/2020;
GGBR4   ;19.66;03/09/2020;
GILD34  ;174.42;03/09/2020;
GMCO34  ;164.59;03/09/2020;
GNDI3   ;73.97;03/09/2020;
GOAU3   ;7.96;03/09/2020;
GOAU4   ;8.97;03/09/2020;
GOGL34  ;369.23;03/09/2020;
GOGL35  ;355.79;03/09/2020;
GOLL4   ;18.76;03/09/2020;
GPAR3   ;32.85;03/09/2020;
GPIV33  ;5.54;03/09/2020;
GPRK34  ;47.84;03/09/2020;
GPRO34  ;22.5;03/09/2020;
GRND3   ;8.37;03/09/2020;
GSGI34  ;112.5;03/09/2020;
GSHP3   ;47.96;03/09/2020;
GUAR3   ;18.8;03/09/2020;
HAGA3   ;3.75;03/09/2020;
HAGA4   ;2.09;03/09/2020;
HALI34  ;86.09;03/09/2020;
HAPV3   ;67.8;03/09/2020;
HBOR3   ;12.01;03/09/2020;
HBTS5   ;23.0;03/09/2020;
HETA4   ;7.9;03/09/2020;
HGTX3   ;19.98;03/09/2020;
HOME34  ;751.37;03/09/2020;
HYPE3   ;33.25;03/09/2020;
I1NF34  ;220.79;03/09/2020;
I1VZ34  ;59.19;03/09/2020;
IBMB34  ;660.0;03/09/2020;
IDVL3   ;2.41;03/09/2020;
IDVL4   ;2.64;03/09/2020;
IGTA3   ;34.82;03/09/2020;
IRBR3   ;7.03;03/09/2020;
ITLC34  ;278.46;03/09/2020;
ITSA3   ;10.63;03/09/2020;
ITSA4   ;9.58;03/09/2020;
ITUB3   ;23.15;03/09/2020;
ITUB4   ;24.2;03/09/2020;
JBDU3   ;2.53;03/09/2020;
JBDU4   ;1.35;03/09/2020;
JBSS3   ;22.5;03/09/2020;
JDCO34  ;420.0;03/09/2020;
JHSF3   ;7.12;03/09/2020;
JNJB34  ;820.39;03/09/2020;
JOPA3   ;33.0;03/09/2020;
JPMC34  ;276.92;03/09/2020;
JPSA3   ;24.18;03/09/2020;
JSLG3   ;33.98;03/09/2020;
KEPL3   ;44.43;03/09/2020;
KHCB34  ;185.0;03/09/2020;
KLBN3   ;5.41;03/09/2020;
KLBN4   ;4.99;03/09/2020;
KLBN11  ;25.33;03/09/2020;
L1UL34  ;500.97;03/09/2020;
LAME3   ;27.45;03/09/2020;
LAME4   ;32.57;03/09/2020;
LAVV3   ;8.75;03/09/2020;
LBRN34  ;40.22;03/09/2020;
LCAM3   ;20.7;03/09/2020;
LEVE3   ;17.5;03/09/2020;
LIGT3   ;15.98;03/09/2020;
LINX3   ;37.0;03/09/2020;
LIPR3   ;75.6;03/09/2020;
LJQQ3   ;14.66;03/09/2020;
LOGG3   ;33.13;03/09/2020;
LOGN3   ;19.73;03/09/2020;
LPSB3   ;5.37;03/09/2020;
LREN3   ;45.7;03/09/2020;
LUXM4   ;46.0;03/09/2020;
LWSA3   ;66.78;03/09/2020;
M1GM34  ;125.39;03/09/2020;
M1NS34  ;455.14;03/09/2020;
M1RO34  ;27.26;03/09/2020;
MACY34  ;41.03;03/09/2020;
MAPT4   ;47.49;03/09/2020;
MCDC34  ;282.5;03/09/2020;
MDIA3   ;37.5;03/09/2020;
MDNE3   ;9.05;03/09/2020;
MDTC34  ;280.0;03/09/2020;
MEAL3   ;3.97;03/09/2020;
MELI34  ;643.5;03/09/2020;
MERC4   ;12.0;03/09/2020;
METB34  ;202.27;03/09/2020;
MGEL4   ;5.35;03/09/2020;
MGLU3   ;93.81;03/09/2020;
MILS3   ;7.05;03/09/2020;
MMMC34  ;225.0;03/09/2020;
MNDL3   ;23.0;03/09/2020;
MNPR3   ;5.72;03/09/2020;
MOAR3   ;208.0;03/09/2020;
MOOO34  ;232.0;03/09/2020;
MOVI3   ;17.27;03/09/2020;
MRCK34  ;449.08;03/09/2020;
MRFG3   ;17.51;03/09/2020;
MRVE3   ;18.29;03/09/2020;
MSBR34  ;280.5;03/09/2020;
MSCD34  ;1818.73;03/09/2020;
MSFT34  ;1217.0;03/09/2020;
MTRE3   ;14.9;03/09/2020;
MTSA4   ;24.5;03/09/2020;
MULT3   ;22.04;03/09/2020;
MUTC34  ;248.97;03/09/2020;
MYPK3   ;11.48;03/09/2020;
N1CL34  ;92.99;03/09/2020;
N1DA34  ;360.58;03/09/2020;
N1EM34  ;354.0;03/09/2020;
NEOE3   ;18.79;03/09/2020;
NFLX34  ;2900.0;03/09/2020;
NIKE34  ;617.0;03/09/2020;
NORD3   ;5.1;03/09/2020;
NTCO3   ;50.6;03/09/2020;
NVDC34  ;742.0;03/09/2020;
ODPV3   ;13.25;03/09/2020;
OFSA3   ;28.37;03/09/2020;
OMGE3   ;39.8;03/09/2020;
ORCL34  ;300.0;03/09/2020;
OXYP34  ;33.11;03/09/2020;
P1SX34  ;160.19;03/09/2020;
PARD3   ;26.4;03/09/2020;
PATI3   ;21.6;03/09/2020;
PATI4   ;29.0;03/09/2020;
PCAR3   ;64.6;03/09/2020;
PDTC3   ;5.97;03/09/2020;
PETR3   ;23.11;03/09/2020;
PETR4   ;22.61;03/09/2020;
PFIZ34  ;197.38;03/09/2020;
PFRM3   ;5.21;03/09/2020;
PGCO34  ;728.74;03/09/2020;
PGMN3   ;10.78;03/09/2020;
PINE4   ;2.79;03/09/2020;
PLAS3   ;4.53;03/09/2020;
PMAM3   ;12.01;03/09/2020;
PNVL3   ;26.37;03/09/2020;
PNVL4   ;23.51;03/09/2020;
POMO3   ;2.67;03/09/2020;
POMO4   ;2.88;03/09/2020;
POSI3   ;5.03;03/09/2020;
PPLA11  ;14.38;03/09/2020;
PRIO3   ;42.84;03/09/2020;
PRNR3   ;9.61;03/09/2020;
PSSA3   ;53.98;03/09/2020;
PTBL3   ;5.25;03/09/2020;
PTNT3   ;6.23;03/09/2020;
PTNT4   ;5.14;03/09/2020;
PYPL34  ;540.0;03/09/2020;
QCOM34  ;640.9;03/09/2020;
QUAL3   ;32.32;03/09/2020;
R1CL34  ;185.88;03/09/2020;
RADL3   ;112.54;03/09/2020;
RAIL3   ;22.25;03/09/2020;
RANI3   ;5.05;03/09/2020;
RANI4   ;7.2;03/09/2020;
RAPT3   ;9.48;03/09/2020;
RAPT4   ;11.0;03/09/2020;
RCSL3   ;2.07;03/09/2020;
RCSL4   ;1.48;03/09/2020;
RDNI3   ;10.4;03/09/2020;
RDSA34  ;153.22;03/09/2020;
REDE3   ;10.49;03/09/2020;
RENT3   ;51.05;03/09/2020;
RIGG34  ;6.5;03/09/2020;
RLOG3   ;21.04;03/09/2020;
ROMI3   ;12.36;03/09/2020;
RPAD5   ;8.5;03/09/2020;
RSID3   ;5.84;03/09/2020;
